,Tickers
355,0JFF.L
356,NSRGY
357,BML-PG
358,IGG.L
359,IGGL.XC
360,NSRGF
361,0QCV.IL
362,JMAT.L
363,JMATL.XC
364,BAC-PL
365,ABBV
366,BML-PL
367,BML-PH
368,0RQ6.IL
369,0HBY.IL
370,0HC0.IL
371,0QB8.IL
372,0QZD.IL
373,TUI.L
374,JET2.L
375,TUIL.XC
376,SCTL.XC
377,SCT.L
378,INCH.L
379,ASMLA.XC
380,INCHL.XC
381,ORCD.XC
382,0R7S.L
383,0QR4.IL
384,GRGL.XC
385,GRG.L
386,RORL.XC
387,ADBE
388,RCP.L
389,EMG.L
390,SHCL.XC
391,TRIG.L
392,SHC.L
393,ROR.L
394,0R2Q.IL
395,CRM
396,AMD
397,TOYOF
398,TM
399,CVX
400,EVOS.XC
401,4ABD.XC
402,SANDS.XC
403,DSVC.XC
404,0Q16.IL
405,RSWL.XC
406,RSW.L
407,HICLL.XC
408,NESNZ.XC
409,HICL.L
410,AMDD.XC
411,KO
412,DARKL.XC
413,DARK.L
414,BML-PJ
415,BAC-PB
416,0HBP.IL
417,TATEL.XC
418,TATE.L
419,INPP.L
420,0O77.IL
421,0O76.IL
422,ITVL.XC
423,LRLCF
424,INPPL.XC
425,ITV.L
426,IDS.L
427,LRLCY
428,BUR.L
429,0K9E.L
430,IDSL.XC
431,CHVD.XC
432,OMUL.XC
433,0TDF.L
434,0TDD.L
435,FMX
436,FMXUF
437,CCC3D.XC
438,OMU.L
439,0NZM.IL
440,DLNL.XC
441,DLN.L
442,SWEDAS.XC
443,0Y0Y.L
444,NCBD.XC
445,MNKSL.XC
446,MNKS.L
447,ACN
448,RHHVF
449,RHHBY
450,IDCBF
451,0QOS.IL
452,RHHBF
453,ORP.XC
454,PEP
455,BAB.L
456,BABL.XC
457,0YSU.L
458,NVSEF
459,SSONL.XC
460,0HN3.L
461,0QQ6.L
462,DLGL.XC
463,DLG.L
464,RIGDL.XC
465,NVS
466,0R0H.L
467,IBM.L
468,HBR.L
469,HBRL.XC
470,0H6T.IL
471,IDCBY
472,0O87.IL
473,BPT.L
474,BPTL.XC
475,MAERBC.XC
476,MCD
477,BYGL.XC
478,BYG.L
479,0QYI.IL
480,CWKL.XC
481,DNLML.XC
482,CWK.L
483,DNLM.L
484,TMO
485,NFLX
486,BVIC.L
487,BVICL.XC
488,PEPD.XC
489,AZNCF
490,HESAF
491,0R7R.IL
492,HESAY
493,ROOL.XC
494,ROO.L
495,CSCO
496,AZN
497,NETW.L
498,0O86.L
499,0QOK.IL
500,NETWL.XC
501,0YSV.L
502,RIGD.IL
503,PNNL.XC
504,PNN.L
505,CTY.L
506,0NMK.IL
507,INTC
508,LMPL.XC
509,LMP.L
510,HGT.L
511,0HV2.IL
512,ROGZ.XC
513,HVPEL.XC
514,MDOD.XC
515,HGTL.XC
516,ROZ.XC
517,WIZZL.XC
518,SHEL
519,0Q15.IL
520,HCM.L
521,ABT
522,NFCD.XC
523,WIZZ.L
524,0QYJ.IL
525,LIN
526,VWSC.XC
527,RDWL.XC
528,QQL.XC
529,RDW.L
530,VMUKL.XC
531,VMUK.L
532,QQ.L
533,GFTUL.XC
534,RMSP.XC
535,RYDAF
536,NOVNZ.XC
537,GFTU.L
538,0RHE.IL
539,CLDN.L
540,0A2W.IL
541,SAP
542,GRIL.XC
543,TMUS
544,GRI.L
545,CISD.XC
546,PHLL.L
547,CLDNL.XC
548,SAPGF
549,0HCI.IL
550,PHLLL.XC
551,HVPE.L
552,DRXL.XC
553,DRX.L
554,WFC-PR
555,0J1B.L
556,SRP.L
557,INLD.XC
558,SRPL.XC
559,LXIL.XC
560,BBYL.XC
561,RATL.XC
562,BBY.L
563,WFC-PL
564,WWH.L
565,RAT.L
566,LXI.L
567,0QBO.IL
568,IWG.L
569,0NC5.L
570,IWGL.XC
571,0A2S.IL
572,0R2F.IL
573,BGEO.L
574,COLOBC.XC
575,SSPGL.XC
576,CMCSA
577,INTU
578,BGEOL.XC
579,ACGBF
580,SAPD.XC
581,ESSIBS.XC
582,0NW4.IL
583,SAFEL.XC
584,0RQC.L
585,SAFE.L
586,WFC
587,INDVL.XC
588,INDV.L
589,0R2E.L
590,DIS
591,ACGBY
592,0Q1N.IL
593,0RQD.IL
594,PNLL.XC
595,PNL.L
596,0M5J.IL
597,ENOG.L
598,TELO.XC
599,DHR
600,0G8C.IL
601,0Q1S.IL
602,ENOGL.XC
603,QCOM
604,TPKL.XC
605,TPK.L
606,PCCYF
607,BABAF
608,0JVQ.L
609,AKRBPO.XC
610,FGT.L
611,FGTL.XC
612,0R0T.IL
613,C-PJ
614,MRCL.XC
615,OSB.L
616,MRC.L
617,0NNF.IL
618,OSBL.XC
619,0R2B.L
620,DATA.L
621,VZ
622,0YIK.L
623,AMGN
624,TBCGL.XC
625,TBCG.L
626,0R2H.L
627,N91.L
628,ORSTEC.XC
629,DANSKC.XC
630,JAM.L
631,JAML.XC
632,MABL.XC
633,MAB.L
634,TEML.XC
635,TEM.L
636,ASHM.L
637,ASHML.XC
638,PFE
639,0NVC.IL
640,SMWHL.XC
641,SMWH.L
642,RHIM.L
643,RHIML.XC
644,TXN
645,WDPD.XC
646,QCID.XC
647,IBM
648,HAS.L
649,HASL.XC
650,0MGB.IL
651,BYITL.XC
652,0QYU.L
653,YCA.L
654,AHLAD.XC
655,0RQP.IL
656,AML.L
657,DAPD.XC
658,AMLL.XC
659,PAGL.XC
660,TRNL.XC
661,NOW
662,PAG.L
663,BYIT.L
664,TRN.L
665,PAGEL.XC
666,AMGD.XC
667,PIN.L
668,BHPLF
669,BHP
670,PROSY
671,PAGE.L
672,MYIL.XC
673,MYI.L
674,PROSF
675,PINL.XC
676,BACD.XC
677,0A30.IL
678,0VL8.L
679,0YZ2.IL
680,TTFNF
681,MS
682,0M8V.IL
683,SVSL.XC
684,TTE
685,SVS.L
686,GNSL.XC
687,HILS.L
688,UNP
689,GNS.L
690,HILSL.XC
691,CAT
692,WTAN.L
693,HSBC
694,LRE.L
695,0QZ6.IL
696,PFED.XC
697,IBMD.XC
698,FOURL.XC
699,FEV.L
700,BX
701,FEVL.XC
702,GS
703,FOUR.L
704,PLUS.L
705,PETS.L
706,PETSL.XC
707,PLUSL.XC
708,PM
709,CICHF
710,0A1U.IL
711,GE
712,QLTL.XC
713,0A28.IL
714,BHMG.L
715,HBCYF
716,QLT.L
717,ONTL.XC
718,TCAP.L
719,TCAPL.XC
720,BACHF
721,HDB
722,CICHY
723,ONT.L
724,PRXA.XC
725,DOML.XC
726,0R1A.IL
727,0H13.IL
728,SPGI
729,SMAWF
730,SIEGY
731,AMAT
732,0R3C.IL
733,SEQI.L
734,DOM.L
735,GEC.L
736,NKED.XC
737,0L5N.L
738,SEQIL.XC
739,RY
740,ITHL.XC
741,ITH.L
742,0Q11.IL
743,0R2L.L
744,TTEP.XC
745,YOU.L
746,0A2V.IL
747,CMWAY
748,PTEC.L
749,PTECL.XC
750,RTNTF
751,TTE.L
752,0R3G.IL
753,BOCHL.XC
754,UPS
755,0W2Y.IL
756,0R08.L
757,BACHY
758,BOCH.L
759,AXP
760,0GWB.IL
761,MONY.L
762,0AAE.IL
763,AGR.L
764,AGRL.XC
765,RSAB.L
766,UNPD.XC
